Epoch,Train Accuracy,Validation Accuracy,Train Loss,Validation Loss
1,0.078125,0.04017857142857143,3.175995,3.1729141984667097
2,0.24330357142857142,0.20535714285714285,2.9549322,3.022025397845677
3,0.32142857142857145,0.09375,3.0949905,3.0753713165010725
4,0.3671875,0.22767857142857142,2.9093845,2.9746382917676653
5,0.43861607142857145,0.19642857142857142,2.8320296,2.9216038158961704
6,0.49776785714285715,0.25892857142857145,2.906155,2.9207968711853027
7,0.5390625,0.17857142857142858,2.9166553,2.947189211845398
8,0.5669642857142857,0.23214285714285715,2.8462768,2.915904096194676
9,0.5904017857142857,0.30357142857142855,2.6979866,2.813484396253313
10,0.59375,0.30357142857142855,2.8565528,2.8513232469558716
11,0.6328125,0.21428571428571427,2.9140341,2.9277539934430803
12,0.6383928571428571,0.1875,2.9641335,2.9616918734141757
13,0.6339285714285714,0.29464285714285715,2.8215432,2.8331562961850847
14,0.6741071428571429,0.3794642857142857,2.746662,2.782402958188738
15,0.6774553571428571,0.26785714285714285,2.738519,2.9081253664834157
16,0.6908482142857143,0.3169642857142857,2.8297503,2.911459003176008
17,0.6852678571428571,0.35714285714285715,2.7639585,2.7644645997456143
18,0.7220982142857143,0.3794642857142857,2.714287,2.7642193692071095
19,0.7366071428571429,0.33482142857142855,2.6911006,2.810158899852208
20,0.7310267857142857,0.29464285714285715,2.847741,2.8739301647458757
21,0.7488839285714286,0.4330357142857143,2.7156627,2.747949685369219
22,0.7399553571428571,0.34375,2.6452816,2.7942061594554355
23,0.7555803571428571,0.4419642857142857,2.651406,2.731479900223868
24,0.765625,0.33035714285714285,2.8393736,2.8274020297186717
25,0.7756696428571429,0.20089285714285715,3.0534456,2.9918213401521956
26,0.7834821428571429,0.38392857142857145,2.6448445,2.735195892197745
27,0.7745535714285714,0.39285714285714285,2.7470248,2.772552933011736
28,0.7946428571428571,0.46875,2.65659,2.6930239370891025
29,0.7946428571428571,0.5357142857142857,2.6253154,2.6561137437820435
30,0.8236607142857143,0.4375,2.6188083,2.6685614245278493
31,0.8236607142857143,0.35714285714285715,2.8117385,2.78595164843968
32,0.8113839285714286,0.3705357142857143,2.8293412,2.7984341212681363
33,0.8180803571428571,0.46875,2.668482,2.6888403722218106
34,0.8303571428571429,0.41517857142857145,2.7453516,2.787712812423706
35,0.8136160714285714,0.4419642857142857,2.6033986,2.722677230834961
36,0.8392857142857143,0.39285714285714285,2.7891936,2.7861995697021484
37,0.8348214285714286,0.48660714285714285,2.6747873,2.7114237546920776
38,0.8370535714285714,0.47767857142857145,2.555898,2.7084587131227766
39,0.8571428571428571,0.4642857142857143,2.7920654,2.7381880283355713
40,0.8470982142857143,0.4375,2.7260718,2.7528456960405623
41,0.8325892857142857,0.42857142857142855,2.6875772,2.7241152014051164
42,0.84375,0.2767857142857143,2.9477146,2.9113613877977644
43,0.859375,0.42857142857142855,2.7135987,2.7301700796399797
44,0.8883928571428571,0.38392857142857145,2.846843,2.8102152347564697
45,0.8448660714285714,0.4107142857142857,2.7584772,2.787686382021223
46,0.8303571428571429,0.41964285714285715,2.7033274,2.7336282559803555
47,0.8337053571428571,0.38839285714285715,2.7326229,2.7602312735148837
48,0.859375,0.4419642857142857,2.5753236,2.707163691520691
49,0.859375,0.45535714285714285,2.6900296,2.7247291462762013
50,0.8705357142857143,0.48214285714285715,2.656759,2.6985014336449757
51,0.9017857142857143,0.4375,2.7606463,2.753210016659328
52,0.8850446428571429,0.47767857142857145,2.6321511,2.7002969639641896
53,0.8939732142857143,0.5044642857142857,2.57469,2.6609557015555247
54,0.8950892857142857,0.4732142857142857,2.6780896,2.7198187112808228
55,0.8727678571428571,0.33035714285714285,2.9249392,2.849044578416007
56,0.8850446428571429,0.39732142857142855,2.6810756,2.719813210623605
57,0.8917410714285714,0.4732142857142857,2.6467798,2.720898355756487
58,0.9029017857142857,0.42857142857142855,2.676316,2.7427143028804233
59,0.8794642857142857,0.375,2.8332443,2.8121557916913713
60,0.8895089285714286,0.45982142857142855,2.659627,2.7157695974622453
61,0.9140625,0.4419642857142857,2.6421905,2.7310893876211986
62,0.8783482142857143,0.44642857142857145,2.5533955,2.7149202483040944
63,0.8928571428571429,0.48214285714285715,2.624409,2.708349313054766
64,0.8705357142857143,0.41964285714285715,2.7626796,2.7229737724576677
65,0.8883928571428571,0.3125,2.8079965,2.890299984386989
66,0.890625,0.38392857142857145,2.8030066,2.819501059395926
67,0.8794642857142857,0.5,2.592506,2.676130107470921
68,0.8928571428571429,0.4642857142857143,2.5585225,2.699969700404576
69,0.90625,0.3482142857142857,2.8748634,2.8350044318607877
70,0.8973214285714286,0.4642857142857143,2.6015089,2.7028431551797047
71,0.9263392857142857,0.47767857142857145,2.6505394,2.7187060628618513
72,0.9084821428571429,0.4375,2.6304712,2.7061271497181485
73,0.9084821428571429,0.4419642857142857,2.6047723,2.7073713711329868
74,0.8895089285714286,0.2857142857142857,2.9112148,2.9486947059631348
75,0.8973214285714286,0.3080357142857143,2.574162,2.849378687994821
76,0.8816964285714286,0.5223214285714286,2.562522,2.668470331600734
77,0.9107142857142857,0.39732142857142855,2.6639345,2.7595725059509277
78,0.8928571428571429,0.42410714285714285,2.671354,2.747833796909877
